school_id,region,division,language,Municipality,District_Name,Barangay,Ownership,Classification,Management,Level,n_test_takers_x,school_low_emerging_total,school_high_emerging_total,school_developing_total,school_transitioning_total,school_at_grade_level_total,school_low_emerging_percent,school_high_emerging_percent,school_developing_percent,school_transitioning_percent,school_at_grade_level_percent,g1_mt_low_emerging,g1_mt_high_emerging,g1_mt_developing,g1_mt_transitioning,g1_mt_at_grade_level,g1_mt_total,g2_mt_low_emerging,g2_mt_high_emerging,g2_mt_developing,g2_mt_transitioning,g2_mt_at_grade_level,g2_mt_total,g2_fil_low_emerging,g2_fil_high_emerging,g2_fil_developing,g2_fil_transitioning,g2_fil_at_grade_level,g2_fil_total,g3_mt_low_emerging,g3_mt_high_emerging,g3_mt_developing,g3_mt_transitioning,g3_mt_at_grade_level,g3_mt_total,g3_fil_low_emerging,g3_fil_high_emerging,g3_fil_developing,g3_fil_transitioning,g3_fil_at_grade_level,g3_fil_total,g3_eng_low_emerging,g3_eng_high_emerging,g3_eng_developing,g3_eng_transitioning,g3_eng_at_grade_level,g3_eng_total,District,School_Name,Address,total_enrollees,total_facilities,total_teachers,n_test_takers_y,english_mps,filipino_mps,mother_tongue_mps,numeracy_mps,mps,overall_mps
101986,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,DALUMPINAS,Public,Partially Urban,DepED Managed,Purely ES,43,27,2,2,8,4,0.627906977,0.046511628,0.046511628,0.186046512,0.093023256,8,1,0,0,3,12,12,0,5,1,0,18,12,0,2,4,0,18,5,0,0,8,0,13,5,0,0,8,0,13,7,1,0,4,1,13,San Nicolas II,Dalumpinas ES,#NAME?,121,9,10,20,46.11111111,65.88888889,60.44444444,68.5,58.90322581,57.48148148
101987,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,POBLACION EAST,Public,Partially Urban,DepED Managed,Purely ES,196,48,4,22,86,36,0.244897959,0.020408163,0.112244898,0.43877551,0.183673469,15,2,18,21,0,56,16,0,0,49,7,72,15,0,0,50,7,72,15,1,8,28,16,68,15,0,2,31,20,68,18,2,4,15,29,68,San Nicolas II,East Central School,-Patricio St. Poblacion East,529,7,34,80,47.27777778,50.77777778,45.63650059,31.875,45.90909091,47.89735205
101988,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,FIANZA,Public,Partially Urban,DepED Managed,Purely ES,3,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,San Nicolas II,Kulangew Elementary School,Sitio Kulangew,3,2,4,7,65.53913777,68.83669612,64.0049739,56.86758472,64.92796001,66.12693593
101989,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,MALICO,Public,Partially Urban,DepED Managed,Purely ES,34,10,9,0,8,7,0.294117647,0.264705882,0,0.235294118,0.205882353,6,8,0,0,0,14,4,0,2,4,0,10,4,0,0,6,0,10,1,0,0,9,0,10,1,0,0,1,8,10,0,1,0,2,7,10,San Nicolas II,Malico ES,#NAME?,104,7,9,15,45.18518519,54.22222222,57.92592593,32,49.80645161,52.44444445
101990,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,MALILION,Public,Partially Urban,DepED Managed,Purely ES,42,19,0,5,10,8,0.452380952,0,0.119047619,0.238095238,0.190476191,7,0,0,2,3,12,3,1,2,3,0,9,3,0,3,2,1,9,6,2,3,5,5,21,6,2,2,6,5,21,9,0,2,6,4,21,San Nicolas II,Malilion Elementary School,Malilion,95,2,9,9,64.44444444,80.24691358,75.0617284,45.55555556,69.67741935,73.25102881
101992,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,FIANZA,Public,Partially Urban,DepED Managed,Purely ES,9,2,0,3,4,0,0.222222222,0,0.333333333,0.444444444,0,1,0,2,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,1,0,0,2,0,3,1,0,0,2,0,3,1,0,1,1,0,3,San Nicolas II,Pastoran ES,Pastoran,19,3,2,5,85.77777778,81.33333333,76.44444444,58,78.19354839,81.18518518
101993,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,FIANZA,Public,Partially Urban,DepED Managed,Purely ES,21,9,0,1,11,0,0.428571429,0,0.047619048,0.523809524,0,8,0,1,0,0,9,0,0,0,5,0,5,0,0,0,5,0,5,1,0,0,6,0,7,1,0,0,5,1,7,1,0,0,6,0,7,San Nicolas II,Puyao ES,#NAME?,49,6,6,13,82.56410256,84.61538462,80.17094017,67.69230769,80.54590571,82.45014245
101994,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,SALINGCOB,Public,Partially Urban,DepED Managed,Purely ES,24,3,0,2,15,4,0.125,0,0.083333333,0.625,0.166666667,3,0,0,6,1,10,0,0,4,4,1,9,0,0,2,6,1,9,0,0,0,3,2,5,0,0,0,1,3,4,0,0,0,3,2,5,San Nicolas II,San Antonio East ES,SALINGCOB,74,7,5,10,71.77777778,69.77777778,63.77777778,28,63.22580645,68.44444445
101995,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,LUNGAO,Public,Partially Urban,DepED Managed,Purely ES,30,15,2,0,7,6,0.5,0.066666667,0,0.233333333,0.2,3,2,0,2,0,7,6,2,3,0,0,11,7,0,0,4,0,11,3,0,0,9,0,12,5,0,0,7,0,12,5,0,0,1,6,12,San Nicolas II,San Antonio West ES,#NAME?,83,6,8,14,61.9047619,60.31746032,59.36507937,33.92857143,57.09677419,60.52910053
101996,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,FIANZA,Public,Partially Urban,DepED Managed,Purely ES,8,2,0,0,5,1,0.25,0,0,0.625,0.125,2,0,0,2,0,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,San Nicolas II,Sapinit ES,"Sitio Sapinit, Brgy. Fianza",32,5,6,8,54.72222222,63.33333333,60.27777778,31.25,55.80645161,59.44444444
101997,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,SANTA MARIA WEST,Public,Partially Urban,DepED Managed,Purely ES,153,69,10,20,42,12,0.450980392,0.065359477,0.130718954,0.274509804,0.078431373,37,7,0,2,0,46,25,0,3,28,0,56,26,0,10,19,1,56,7,0,5,31,8,51,8,0,2,35,6,51,6,3,10,21,11,51,San Nicolas II,Sta. Maria ES,-Sta. Maria West,348,7,19,49,51.6553288,54.14965986,49.04863942,33.67346939,49.40630798,51.61787603
101998,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,SANTA MARIA EAST,Public,Partially Urban,DepED Managed,Purely ES,43,18,0,4,13,8,0.418604651,0,0.093023256,0.302325581,0.186046512,11,0,0,1,0,12,5,0,4,2,8,19,5,0,4,2,8,19,2,0,0,5,5,12,2,0,0,5,5,12,2,0,0,10,0,12,San Nicolas II,Talingkapor E/S,#NAME?,107,5,8,12,78.51851852,84.25925926,76.2962963,70.83333333,78.5483871,79.69135803
102014,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,AGAT,Public,Partially Urban,DepED Managed,Purely ES,44,17,7,2,11,7,0.386363636,0.159090909,0.045454545,0.25,0.159090909,9,2,2,1,0,14,2,4,0,4,5,15,2,4,0,4,5,15,6,1,1,6,1,15,6,1,1,6,1,15,6,1,0,6,2,15,Sison,Agat ES,Agat,116,6,8,13,37.60683761,30.94017094,36.58119658,26.15384615,33.89578164,35.04273504
102015,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,ALIBENG,Public,Partially Urban,DepED Managed,Purely ES,57,40,0,3,12,2,0.701754386,0,0.052631579,0.210526316,0.035087719,18,0,0,2,0,20,16,0,0,6,1,23,16,0,0,6,1,23,4,0,0,4,6,14,4,0,0,4,6,14,6,0,3,4,1,14,Sison,Alibeng ES,#NAME?,191,7,9,30,45.77777778,47.11111111,48.96296296,36.33333333,45.87096774,47.28395062
102017,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,ARTACHO,Public,Partially Urban,DepED Managed,Purely ES,100,22,20,13,36,9,0.22,0.2,0.13,0.36,0.09,16,5,7,3,0,31,6,10,0,14,5,35,6,10,0,14,5,35,5,0,1,25,3,34,5,0,1,25,3,34,0,5,6,19,4,34,Sison,Artacho ES,Mc Arthur Highway,282,6,15,36,56.04938272,55.61728395,46.42495835,1.666666667,45.98484848,52.69720834
102018,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,ASAN SUR,Public,Partially Urban,DepED Managed,Purely ES,289,124,11,19,74,61,0.429065744,0.038062284,0.065743945,0.256055363,0.211072664,59,9,3,1,2,74,24,2,12,27,33,98,24,2,12,27,33,98,35,0,3,62,17,117,35,0,3,62,17,117,41,0,4,46,26,117,Sison,Asan Sur ES,Oligan St.,828,6,31,122,59.32604736,58.90710383,53.42440801,34.18032787,54.24643046,57.2191864
102020,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,BINMECKEG,Public,Partially Urban,DepED Managed,Purely ES,108,58,0,20,24,6,0.537037037,0,0.185185185,0.222222222,0.055555556,36,0,3,1,1,41,11,0,0,16,4,31,11,0,0,15,5,31,9,0,8,16,3,36,9,0,8,16,3,36,11,0,17,8,0,36,Sison,Binmeckeg ES,Binmeckeg,283,7,14,46,51.69082126,53.52657005,54.97584541,31.73913043,50.60308555,53.39774557
102021,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,BULAOEN EAST,Public,Partially Urban,DepED Managed,Purely ES,74,27,0,7,20,20,0.364864865,0,0.094594595,0.27027027,0.27027027,11,0,0,6,2,19,5,0,7,8,9,29,4,0,7,6,12,29,11,0,2,8,5,26,10,0,1,10,5,26,12,0,0,8,6,26,Sison,Bulaoen East ES,Bulaoen East,201,7,9,33,72.12121212,79.86531987,71.11111111,72.27272727,74.09579668,74.36588103
102022,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,BULAOEN WEST,Public,Partially Urban,DepED Managed,Purely ES,81,12,19,4,27,19,0.148148148,0.234567901,0.049382716,0.333333333,0.234567901,5,16,3,0,0,24,7,0,0,17,6,30,7,0,0,17,6,30,4,0,0,11,12,27,4,0,0,11,12,27,0,3,1,10,13,27,Sison,Bulaoen West ES,"Bulaoen West, Sison, Pangasinan",181,7,8,22,58.08080808,61.31313131,65.95959596,31.13636364,57.82991202,61.78451178
102023,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,CABARITAN,Public,Partially Urban,DepED Managed,Purely ES,74,26,6,8,27,7,0.351351351,0.081081081,0.108108108,0.364864865,0.094594595,15,6,3,3,3,30,9,0,0,11,1,21,9,0,0,11,1,21,5,0,0,18,0,23,2,0,2,17,2,23,2,0,5,13,3,23,Sison,Cabaritan ES,Cabaritan,162,8,9,25,63.55555556,69.24444444,69.42222222,36.4,63.40645161,67.40740741
102024,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,CALUNETAN,Public,Partially Urban,DepED Managed,Purely ES,42,20,6,6,3,7,0.476190476,0.142857143,0.142857143,0.071428571,0.166666667,10,5,1,0,0,16,1,3,5,1,1,11,2,1,5,2,1,11,7,0,0,4,4,15,6,0,1,2,6,15,8,0,0,1,6,15,Sison,Calunetan ES,#NAME?,90,5,4,11,67.47474747,76.56565657,71.91919192,67.72727273,71.43695015,71.98653199
102025,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,CAMANGAAN,Public,Partially Urban,DepED Managed,Purely ES,43,19,0,3,13,8,0.441860465,0,0.069767442,0.302325581,0.186046512,18,0,0,0,0,18,1,0,1,5,3,10,1,0,1,5,3,10,0,0,0,13,2,15,0,0,0,13,2,15,0,0,2,8,5,15,Sison,Camangaan ES,Camangaan,110,6,9,20,57.77777778,57.22222222,47.41899088,0.5,47.13636364,54.13966363
102026,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,CAURINGAN,Public,Partially Urban,DepED Managed,Purely ES,37,18,0,1,11,7,0.486486487,0,0.027027027,0.297297297,0.189189189,9,0,1,0,0,10,7,0,2,7,0,16,7,0,0,8,1,16,2,0,0,3,6,11,2,0,0,2,7,11,2,0,0,3,6,11,Sison,Cauringan Elementary School,Mac arthur High Way,111,7,8,20,48.33333333,54.44444444,48.44444444,36,48.5483871,50.4074074
102027,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,KILLO,Public,Partially Urban,DepED Managed,Purely ES,81,45,6,15,5,10,0.555555556,0.074074074,0.185185185,0.061728395,0.12345679,14,5,6,0,0,25,17,0,4,4,0,25,17,0,4,1,3,25,15,0,1,9,6,31,12,0,4,7,8,31,14,1,5,4,7,31,Sison,Don Manuel I. Venezuela ES,#NAME?,202,7,10,29,48.04597701,53.63984674,56.39846743,20.86206897,48.58731924,52.69476373
102031,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,BILA,Public,Partially Urban,DepED Managed,Purely ES,60,31,5,6,15,3,0.516666667,0.083333333,0.1,0.25,0.05,12,0,3,3,0,18,12,0,0,6,2,20,12,0,0,6,2,20,7,0,2,13,0,22,8,0,2,12,0,22,7,5,3,6,1,22,Sison,Gorgordion ES,#NAME?,151,6,9,29,46.89655172,58.85057471,49.1954023,30.86206897,48.96551724,51.64750958
102032,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,INMALOG,Public,Partially Urban,DepED Managed,Purely ES,49,21,0,0,7,21,0.428571429,0,0,0.142857143,0.428571429,9,0,0,1,5,15,8,0,0,5,8,21,8,0,0,4,9,21,4,0,0,2,7,13,4,0,0,2,7,13,4,0,0,2,7,13,Sison,Inmalog ES,#NAME?,117,8,9,19,57.07602339,48.88888889,72.63157895,51.31578947,58.47198642,59.53216374
102033,Region I,"Pangasinan II, Binalonan",Tagalog,SISON,5th District,LABAYUG,Public,Partially Urban,DepED Managed,Purely ES,116,49,13,10,27,17,0.422413793,0.112068966,0.086206897,0.232758621,0.146551724,29,8,1,1,0,39,11,1,3,8,6,29,11,1,3,8,6,29,12,1,6,22,7,48,12,1,6,22,7,48,9,4,6,18,11,48,Sison,Labayug ES,-Baracust Street,291,7,14,42,62.32804233,62.16931217,55.66137566,35,56.8202765,60.05291005
102034,Region I,"Pangasinan II, Binalonan",Ilocano,SISON,5th District,SAGUNTO,Public,Partially Urban,DepED Managed,Purely ES,16,3,0,1,9,3,0.1875,0,0.0625,0.5625,0.1875,3,0,1,1,0,5,0,0,1,5,0,6,0,0,0,5,1,6,0,0,0,3,2,5,0,0,0,4,1,5,0,0,0,3,2,5,Sison,Pilawan ES,Pilawan,42,3,4,6,37.77777778,54.81481481,48.14814815,30.83333333,44.83870968,46.91358025
